name,x,y
1,11.719023,-7.2143097
2,-3.7018554,4.41518
3,19.241129,-9.998744
117,13.809116,-8.387511
22,-12.713403,-33.053036
16,-16.403082,-27.780554
17,-6.773903,-24.678099
18,-7.034338,-25.526285
19,-18.712715,-30.526966
20,-15.411999,-30.737093
21,-15.289717,-24.723259
23,15.108122,-19.631655
24,-16.50981,-31.334204
25,-7.8482265,-28.81195
26,-8.460929,-29.310083
27,-14.093285,-32.949852
28,-7.299636,-24.453848
29,-18.088829,-33.378323
30,-3.683802,-26.548975
31,15.18431,-21.41394
32,5.333814,-14.706319
33,-17.655064,-29.846909
34,-19.265175,-33.100468
58,-35.027065,-69.70523
112,-11.725399,10.422485
113,12.994898,-8.97037
50,-32.306446,-66.78421
51,-38.913925,-75.49868
52,-4.2932563,-3.4048424
53,54.65663,7.908985
54,-9.852515,2.1234
55,-39.51448,-76.55641
56,-28.75134,-71.37017
57,70.34098,-0.58927363
59,14.639139,-18.261032
63,20.247692,-3.8870935
103,13.960117,-11.854367
66,-38.194996,-74.21614
67,-38.103455,-74.04455
68,-38.236427,-74.29254
106,13.845829,-12.603023
69,-38.231834,-74.28809
70,-38.017693,-73.9008
71,-38.108303,-74.05869
72,-38.224743,-74.27167
114,-14.544252,10.106739
73,-38.319,-74.44356
78,-38.03933,-73.93942
109,13.852204,-12.380315
115,-1.0262957,10.388883
95,-12.743694,-51.08409
97,-32.13232,-66.75217
98,-32.167385,-66.77391
99,-32.22075,-66.730545
116,-14.104181,10.701377
155,-60.85012,-8.925035
152,-45.80651,9.633629
153,-49.793674,6.5272627
154,-50.7614,8.45974
4345,-10.680613,10.920483
145,-58.28323,-9.792635
146,-58.505238,-6.533377
147,-55.303596,4.312042
148,-46.1298,10.021015
149,-51.67081,4.359206
150,-55.941753,2.6432555
151,-51.47535,8.526751
4346,13.334377,-6.1880326
156,-56.1546,3.1510394
157,-49.036144,10.936543
158,-50.096985,5.010262
159,-55.227432,-2.674954
160,-52.25433,-3.0361106
161,-55.321102,-0.8352726
162,-58.93106,-2.8423805
163,-49.243355,5.5808287
164,-58.748955,-2.9717965
165,-54.104443,3.9960332
4347,-14.139657,10.902707
166,-56.541756,1.8009837
167,-56.0887,-6.94037
168,-54.941956,9.198943
169,-49.898796,6.34415
170,-50.04132,4.048413
171,-60.604618,-1.8426204
172,-60.616898,-2.5861385
173,-61.0093,-1.9645458
174,-48.80073,11.218392
175,-49.451973,1.1881187
4348,14.084352,-8.233951
176,-58.020008,-0.26251727
177,-51.191994,8.521448
178,-51.84978,0.6689566
179,-54.1888,7.5945086
180,-53.91573,8.647132
181,-59.70994,-8.197546
182,-49.26096,5.4590774
183,-49.941048,0.4559944
184,-54.25426,3.8902812
185,-57.05483,1.8620358
4349,-14.792368,9.90924
186,-50.630764,3.5893674
193,-54.773243,2.3380916
194,-54.04102,2.8294618
195,-49.279648,10.317771
196,-46.560318,9.796048
197,-54.636387,-6.4380507
198,-49.472794,10.7498
199,-56.120094,-7.306019
200,-51.088875,9.0672655
201,-52.018127,-0.80209285
202,-56.965897,1.834863
4350,-8.767206,9.798364
203,-53.755333,7.8526254
204,-60.800007,-9.653745
205,-57.398087,-5.2699237
206,-51.626896,-0.9829108
207,-57.985184,-2.200305
208,-59.532986,-10.555358
209,-52.13553,10.791929
210,-59.51767,-1.8661846
211,-52.29094,6.0310216
212,-59.187275,-4.4158463
4351,-15.241473,10.425557
213,-50.25243,-0.431204
214,-59.13697,0.8808188
215,-54.767265,9.412815
216,-61.312637,-0.6777723
217,-53.689224,9.482207
218,-51.45622,10.81194
219,-51.57625,2.4248898
220,-49.608833,9.346666
221,-58.25165,-0.075734675
222,-53.005955,9.411687
4352,-8.393794,8.737945
223,-59.69311,-10.9218235
224,-52.252045,5.871123
225,-60.17412,-8.259005
226,-57.551735,-9.790812
227,-59.39889,-1.6705976
228,-57.726414,-10.166828
232,9.912262,-29.402903
233,20.076971,-55.75347
234,4.6253715,-35.949207
235,-16.37453,-31.91811
236,11.239474,-29.801601
237,16.149815,-51.332054
238,27.921354,-32.963776
245,-14.035327,-24.651207
242,18.672182,-50.725883
243,8.311749,-54.228764
244,23.661623,-42.51815
475,-56.03922,-6.65983
246,-6.563346,-22.65725
247,-7.2629657,-25.3227
248,-16.51088,-27.638737
249,-19.911367,-31.454435
250,-14.780504,-30.246695
251,4.97709,3.9435687
252,-13.22271,-25.658262
253,-14.993706,-24.54413
254,10.6638775,-27.547995
255,-13.194048,-27.08951
256,-11.319758,-28.369564
257,-12.305259,-27.769299
258,-6.7420444,-28.389328
259,-4.0377645,-26.315357
260,-6.6857333,-24.928879
261,-13.856699,-31.296564
262,-14.0241785,-33.453365
263,-5.331462,-24.246536
264,-5.17859,-28.125826
265,-14.134285,-24.740318
266,-4.4832463,-26.984106
267,16.248346,-20.92838
268,-20.481337,-31.73516
269,-13.319592,-29.454634
270,-20.763779,-31.74137
271,-17.595657,-33.594982
272,1.3879033,-31.406792
273,-6.7703524,-25.043575
274,-12.432882,-33.112694
275,-19.118578,-30.063646
276,-12.490716,-31.787123
323,18.846622,-50.61572
277,-16.622168,-32.393692
278,-20.491676,-31.769917
279,-5.6528883,-24.686243
280,-16.462866,-31.233522
284,20.098215,-23.956211
285,16.994875,-24.453306
286,7.6454663,-35.34441
287,-21.233234,-31.11289
288,-15.105522,-31.435589
289,-6.678197,-23.726915
290,10.642093,-27.389336
291,-13.122558,-29.003633
292,-9.474787,-29.714108
293,-13.737158,-33.10771
294,-6.2013774,-24.04304
295,-8.637339,-24.729443
296,18.726461,-22.718895
297,-9.079579,-28.470428
298,-18.900805,-29.942373
299,20.4691,-46.49978
300,-19.038517,-33.101368
301,-19.92276,-31.684984
302,-18.917889,-29.799788
303,-13.692929,-25.294506
304,-3.98485,-25.238592
305,-21.005718,-31.88719
306,-17.943502,-30.474974
307,-12.168514,-32.154915
308,-3.3484566,-29.51521
309,-4.53109,-27.538681
310,-18.804909,-33.09572
311,-18.889723,-33.08228
312,-6.167917,-23.563896
313,-13.430763,-25.903067
314,-12.442517,-30.323393
315,-14.089128,-32.57521
316,-12.506713,-25.276983
317,18.999037,-25.136957
318,-13.035799,-25.100477
319,-17.399794,-33.769497
320,-6.25916,-26.786001
321,17.25028,-20.202156
322,15.727037,-50.98643
324,34.02055,-27.616472
325,-9.082004,-27.437826
326,16.063343,-20.229044
327,-20.293661,-32.431526
328,-12.352199,-33.83054
329,-5.435799,-28.250193
330,-16.288393,-30.735409
331,-6.8458257,-24.511635
332,-17.058495,-33.6002
333,-3.5523245,-26.518997
334,-19.942862,-33.033115
335,-16.617731,-34.0374
336,-13.267733,-33.14922
337,-1.9122903,-22.777502
338,-19.372192,-32.417633
339,-16.161037,-31.155811
340,-16.634384,-29.295492
341,-11.494835,-27.057789
345,-4.0161886,-20.485916
346,20.14219,-25.051498
476,-47.659164,8.286111
347,-4.8677607,-23.642616
348,-6.657913,-27.945925
349,-18.166407,-29.007917
350,-14.0985365,-28.80765
351,-6.569039,-23.180416
352,-10.155125,-24.111078
353,-3.4973161,-26.383223
354,-12.447317,-25.463907
355,-3.7373178,-25.118444
356,-14.517322,-30.28674
357,-14.519524,-32.646
358,-21.10539,-31.469107
359,16.620293,-20.846857
360,-4.5300164,-24.829426
361,-12.429247,-27.970343
384,21.87229,-43.28385
362,-12.299249,-24.789099
363,-14.309516,-31.091347
364,-38.306625,-68.38705
368,9.78471,-29.089825
369,8.321332,-54.23838
370,12.547956,-53.355354
371,-2.744451,-26.237919
372,13.151633,-53.49507
373,6.4896502,-15.513019
374,-3.569136,-20.142076
378,1.1692853,-51.766903
379,22.504675,-39.496166
380,24.093546,-41.598083
381,-15.966951,-31.098017
382,16.286404,-51.605904
383,16.105776,-50.76405
388,-59.547253,-6.4850836
389,10.271817,-9.378851
390,-38.173515,-68.44168
394,-9.872231,-29.602758
398,-11.297331,-26.650826
399,-21.449015,-34.13655
400,14.7786045,-19.076405
401,19.61053,-24.369556
402,-2.3559659,-29.791744
403,-11.507654,-24.689253
404,-2.0748177,-29.96272
412,-8.827673,-27.541294
405,-12.78213,-30.725536
406,-12.760904,-31.448942
407,-6.7044034,-25.929783
408,-9.092443,-28.372812
409,17.424335,-20.018387
410,-14.437371,-33.321064
411,-16.194426,-29.642006
413,-15.162785,-24.562923
414,-8.017845,-24.239193
415,-10.968282,-25.029434
416,-3.6757731,-27.312529
417,4.517904,-54.03634
418,12.405844,-55.080585
419,14.9256935,-51.982132
