name,x,y
0,2.8384159,-3.8007817
1,-0.17484765,-2.2619634
2,3.6064475,-2.131343
3,-1.7320724,-3.2784855
4,-5.921629,-8.324794
5,-4.055053,-11.207923
6,-5.7690024,-1.727142
7,-3.322367,-7.0757656
8,-4.83946,-7.609406
9,-0.61432594,-7.9213023
10,-3.176078,-3.7356353
11,-2.6498947,0.21164612
12,-7.548457,-7.333802
13,3.965924,-2.3360932
14,-1.6887773,-7.2659674
15,-1.1060011,-4.860758
16,-6.9189773,-5.390095
17,0.67751944,-5.4908404
18,-5.6934657,-10.506936
19,-3.5019722,-3.5010178
20,-0.7892689,-7.0502663
21,-2.3348706,-0.50347537
22,-2.315883,-7.958771
23,-1.9459295,-6.025765
24,-5.21921,-1.8091562
25,-0.61807525,-3.2456577
26,-3.7232118,-5.5113773
27,-0.4286718,-5.8933115
28,3.6402533,-2.2028134
29,3.708983,-7.611087
30,-1.9234048,-9.153706
31,-1.8463787,-3.4403996
32,-1.4445771,-9.00204
33,-0.29246345,-6.0373144
34,1.295745,-3.0714142
35,-3.5293114,-5.44581
36,0.07783888,-3.9256434
37,0.73496705,-11.805319
38,1.6418766,-10.594976
39,1.3015057,-9.006509
40,4.5081434,-7.8407764
41,2.079823,-8.182778
42,0.55148935,-11.216959
43,1.9592685,-8.499684
44,1.158195,-10.903967
45,0.19353676,-9.025486
46,2.066041,-7.6355205
47,2.2423577,-9.978191
48,-2.8449273,-7.562459
49,-6.474383,-8.22232
50,-1.194058,-0.25858736
51,-3.8907747,-8.046747
52,-4.7086725,-6.229473
53,3.957165,-5.0263352
54,0.8447104,-8.423562
55,-2.619313,-5.2024274
56,-5.678781,-3.78963
57,3.721352,-9.288146
58,-6.893965,-4.8822966
59,-4.965398,-5.099784
60,5.6238446,-7.3596215
61,-2.3677363,-1.8162236
62,2.512713,-4.941753
63,1.9257843,-5.1103725
64,0.29226092,-6.9473367
65,-1.1063691,-0.76854175
66,-3.3427358,-9.850077
67,1.1857382,-2.7780821
68,0.93617845,-0.08639495
69,-4.3856096,-10.187791
70,1.6122531,-0.30655628
71,-4.3743205,-1.3450315
72,3.0410407,-5.9009433
73,-5.213655,-6.1771097
74,-0.7554508,-1.068141
75,1.021424,-6.392895
76,1.0572875,-5.9805155
77,0.5255636,-4.1423984
78,0.36737227,-1.4190874
79,-1.7815076,-5.1837854
80,-4.7102637,-8.866468
81,2.9001842,-4.0432014
82,-2.5116868,-4.049629
83,-7.2070317,-6.2260175
84,3.9855833,-6.1526766
85,-4.0574517,-3.5780659
86,-0.49177694,-1.2851217
87,-4.6953273,-8.425603
88,-6.0933986,-3.0464106
89,-0.7511651,-5.1173406
90,1.845669,-2.1377907
91,-2.7237182,-7.45918
92,-3.9808412,-11.461806
93,-5.761557,-6.258903
94,-1.2477773,-8.8207445
95,-4.9092326,-2.1300764
96,-1.2205429,-10.512233
97,-5.4455037,-3.897092
98,-2.4398737,-1.8541753
99,-4.276192,-1.1030983
