name,x,y
1,3.7214742,7.073958
2,3.7563472,5.458287
3,2.9597871,10.891355
4,3.5144908,6.647803
5,3.4679718,6.2804117
6,3.4131777,5.172031
117,-1.1957637,2.9364724
6453,-0.07966956,3.2506962
6454,3.583295,7.4681673
7,3.3803093,5.0790553
8,3.3449025,4.938622
9,3.5876248,7.650026
10,3.5282526,5.7410483
22,-2.2750976,-7.8549023
11,3.4167335,5.2576423
12,3.4429448,5.1770954
13,3.3394825,5.4193134
14,3.1520798,4.7464724
110,2.713691,4.0134153
6455,2.1858835,10.864759
15,3.5550745,7.0637636
16,-3.1118503,-8.483404
17,-3.0053482,-8.880571
18,-2.8257365,-8.719055
19,-2.4566517,-8.162289
20,-2.679873,-8.356878
21,-2.1960611,-6.9961815
23,-2.1949573,-7.741446
24,-2.3054445,-7.842675
25,-2.3458831,-7.636822
26,-2.1309822,-7.2617636
27,-2.2734482,-7.8363585
28,-2.2504907,-7.691889
29,-2.478252,-7.5094886
30,-1.7165973,-6.9272037
31,-3.2601917,-9.400015
32,3.4320292,8.630437
33,3.3398156,6.8863063
34,-2.6956697,-8.393174
35,3.5229416,6.29249
58,3.085783,4.1710224
36,3.5159733,5.9965196
37,3.3464622,5.1708336
38,3.3797426,5.1487875
39,3.3665226,5.107801
111,0.4358311,1.4405336
40,3.3635058,5.1248493
41,3.5086596,5.810751
42,3.4830189,5.429289
43,3.4068663,5.2693224
112,3.5236225,7.7289567
113,3.545949,7.747666
44,3.5146122,5.9688067
45,3.342888,5.068255
46,3.399063,5.08709
47,-0.13065027,-0.73963034
91,-0.34277704,1.4208727
48,-1.750739,-1.7724392
49,-0.1683287,-1.5542252
50,2.9646957,10.898973
51,3.4829338,8.521975
52,2.9598885,10.913466
53,3.7828002,7.1586905
54,2.981877,4.102863
55,3.651557,7.076305
56,3.6325877,6.4316363
57,2.6091888,2.8643596
102,3.5213025,8.306862
59,3.102665,4.0945396
60,4.0231924,5.287103
61,2.537579,4.0095396
62,3.0011835,6.307765
63,3.3852584,8.858484
64,3.8589163,7.0517526
103,3.1946335,5.0640187
104,2.267394,3.226938
65,3.8488107,7.616663
66,2.934351,10.276331
67,3.5681298,8.699337
68,3.459633,9.011997
105,0.63198394,1.5630746
106,2.6928732,4.292533
69,3.9357362,7.4895363
70,3.570768,8.700247
71,3.5292566,8.815125
72,3.544422,8.776889
114,-1.9254342,-0.10197446
73,4.098629,6.1542273
74,4.171778,3.2342758
75,4.90656,1.8970033
76,3.8524563,3.3326895
107,2.7848508,4.0343537
77,4.063599,5.376165
78,3.8521843,5.7147193
79,3.954225,5.8684545
80,2.4409761,2.7818418
108,0.39724556,1.5500683
109,2.6413636,4.0956693
81,3.917035,5.461018
82,4.084726,3.3382657
83,3.9553828,5.2272725
84,3.9963505,3.4520729
85,3.818687,7.4564567
86,2.5833836,2.7805355
87,0.96566564,1.4058236
88,0.37647,1.5046139
89,-0.3001192,-0.40167117
90,0.94146276,2.2222016
115,-1.8616983,0.07926569
92,3.698914,7.4194856
93,3.4473004,8.891765
94,-2.5061266,-0.7587204
95,3.7269318,7.21647
96,2.5961564,5.5359097
97,3.174919,5.71176
98,2.4458933,5.036514
99,-3.5565841,7.688474
100,-0.17688714,3.4464147
101,3.4663413,8.323406
116,-1.8862263,-2.5470846
118,-0.20117617,-1.4928707
119,-0.78412265,-1.9880896
120,0.3568187,-0.35262263
121,0.2798042,-2.6023872
155,-3.3667006,-12.669755
2770,-2.0803697,0.27401868
122,-0.8482153,-0.7885279
123,0.005097332,-1.2322443
124,2.0410433,3.2829568
125,-0.25175834,2.3654757
130,-0.4058745,-0.8509492
126,-0.13557535,2.1440923
127,2.0327454,-0.8796437
128,0.15062062,-1.0255843
129,0.8603326,1.5398172
152,-3.3024035,-10.136752
231,1.2594106,3.4533656
131,-0.8053139,-1.72777
132,0.15320598,-1.2192286
133,-0.591999,-0.2142112
134,-1.9849302,-2.2508423
153,-3.567218,-10.346634
135,-0.73578054,-1.7722286
136,-3.0529957,-4.971328
137,0.15571958,-3.2272878
138,-0.018836653,-1.4413999
139,0.0041851546,-1.8601359
140,-0.5154277,-1.9727614
141,0.44177702,-0.30882967
142,1.3712333,2.5981245
143,0.033035006,2.0513086
154,-2.7894118,-8.824392
4345,-1.8001438,-2.2470074
144,-0.008556871,1.7725321
145,-4.0101027,-11.3995695
146,-4.275256,-12.781113
147,-3.4188159,-11.981626
148,-4.000957,-13.152888
149,-3.2964635,-11.369046
150,-3.8895981,-12.973255
151,-2.9863663,-12.271538
4346,-1.2328936,-2.595016
156,-4.8191886,-13.494245
157,-4.1261563,-13.621199
158,-3.0445135,-11.465466
159,-3.006083,-10.923793
160,-2.950273,-10.62593
161,-2.9411151,-10.698639
162,-3.3458302,-13.043267
163,-3.675886,-13.251297
164,-2.9858682,-10.856677
165,-3.560203,-13.28516
4347,-1.4241246,-3.0081832
166,-3.0827336,-10.639558
167,-2.8976486,-12.246427
168,-3.2195008,-10.526018
169,-3.125179,-10.070042
170,-3.5396478,-10.390215
171,-4.9678497,-12.699109
172,-4.1887994,-12.697115
173,-3.084869,-11.877703
174,-3.2125854,-12.689135
175,-3.5549376,-12.90318
4348,-1.5814247,-2.439391
176,-2.9887018,-11.09714
177,-3.4249456,-12.949303
178,-3.6305063,-11.039203
179,-4.880784,-12.775194
180,-3.5813024,-11.253854
181,-3.0666134,-12.5205765
182,-2.8419046,-12.128713
183,-2.8634424,-12.192338
184,-3.1045074,-9.625449
185,-3.5394359,-8.818412
4349,-2.1039243,-0.46072862
186,-3.4756346,-8.776829
187,3.0512261,5.334965
188,2.5360546,4.7914243
189,1.1591202,3.4181004
190,-0.14221312,-1.7869974
191,-1.5271717,-0.16839193
192,0.29349852,-0.5668547
193,-4.361519,-11.759039
194,-4.323021,-11.675511
195,-5.363881,-13.165524
196,-3.1245832,-10.112566
197,-3.3683295,-11.194238
198,-3.5152,-12.172198
199,-3.120934,-11.093417
200,-2.9497542,-11.275501
201,-2.9468668,-10.617667
202,-4.7488856,-13.540172
4350,-1.3801047,-1.8323226
203,-4.316988,-13.617274
204,-2.8798118,-12.2258625
205,-3.1613574,-11.166134
206,-3.4520125,-13.163017
207,-4.3862686,-13.615582
208,-4.647198,-13.547093
209,-3.177887,-12.587786
210,-2.9368246,-12.392061
211,-3.68719,-13.127339
212,-3.415045,-12.983064
4351,-1.6796393,-2.8514237
213,-3.0074978,-10.547437
214,-3.0140107,-10.857904
215,-3.4924743,-11.17766
216,-4.378429,-12.532454
217,-3.6813288,-12.046936
218,-2.8329947,-12.050201
219,-2.8607285,-12.297704
220,-2.836975,-12.104003
221,-3.0573928,-10.806549
222,-3.0137615,-11.5922165
4352,-1.9784843,-1.9997873
223,-3.5378778,-11.086098
224,-3.9483032,-12.016613
225,-4.31109,-12.494024
226,-3.0860534,-10.514754
227,-3.3997464,-12.950499
228,-3.3361928,-10.111037
229,2.6871772,3.7247097
230,3.3959253,6.1449637
232,-2.2521105,-6.953788
233,-2.2104983,-8.15453
234,-2.1513867,-8.043841
235,-3.0901601,-9.131126
236,-2.8399794,-8.879033
237,-3.238958,-9.37671
238,3.7194872,-0.39525846
245,-2.1389709,-7.954467
239,3.3347113,6.101431
240,3.3853858,6.234979
241,3.2617817,5.956255
242,3.182914,2.1440284
243,-3.2741349,-9.6638975
244,-3.0427098,-9.225066
475,-3.5056448,-10.312402
246,-3.2224145,-9.664724
247,-1.7578591,-6.9599266
248,-1.9908252,-7.1345224
249,-2.4898176,-7.633548
250,-2.3340268,-7.221169
251,-2.7816372,-8.237275
252,-2.234141,-7.9297757
253,-2.277189,-7.817598
254,-2.8436048,-8.628871
255,-2.4988787,-8.067694
256,-3.4280984,-9.20408
257,-2.0232944,-7.5870967
258,-2.05343,-7.3935437
259,-2.2911916,-7.7376337
260,-2.1989148,-7.8245134
261,-3.236357,-8.556619
262,-3.206845,-9.401852
263,-2.2866464,-8.028774
264,-2.3259408,-7.918882
265,-2.5545187,-7.594777
266,-2.0884285,-7.455218
267,-2.8219163,-8.59269
268,-2.1271675,-7.231619
269,-2.168636,-7.691162
270,-1.6289877,-6.8862734
271,-2.634797,-8.283138
272,-2.1577392,-7.452764
273,-2.426385,-8.08705
274,-2.2848535,-8.142966
275,-2.3469238,-8.036624
276,-2.1138668,-7.642853
323,-2.7462668,-8.7003
277,-2.183568,-7.2727313
278,-2.5256088,-8.253329
279,-2.5305357,-6.7787066
280,-2.9084008,-5.6837645
281,3.40829,6.39147
282,3.1193156,5.4731593
283,3.3182664,6.0137362
284,-2.2578816,-7.0155897
285,-3.067978,-9.1678705
286,-2.0553365,-7.7657447
287,-2.8494906,-8.770791
288,-2.8286023,-8.859495
289,-2.0688066,-7.7080073
290,-2.1422465,-7.6961584
291,-2.307205,-7.6799994
292,-2.296602,-6.8643136
293,-1.6730591,-6.9106
294,-1.808256,-6.944666
295,-2.292267,-7.659259
296,-2.3003955,-7.810801
297,-1.9356061,-7.08541
298,-3.3052833,-9.275715
299,-2.7743564,-8.443615
300,-2.7163165,-8.461712
301,-2.7526464,-8.40899
302,-2.6515348,-8.345486
303,-3.0368798,-8.526342
304,-3.248116,-9.461221
305,-2.6092956,-8.535929
306,-2.472656,-8.127447
307,-2.3041723,-6.74557
