name,x,y
1,76.705025,-9.796971
2,84.52085,-2.112348
3,55.47455,-49.46449
4,4.7166142,-56.1568
5,43.67519,-57.94514
6,57.6864,-32.883533
7,43.661472,-44.099575
8,24.528484,-55.218876
9,21.941416,-68.16804
10,4.716105,-56.600338
22,56.39119,-45.386707
11,43.193115,-56.53634
12,44.51263,-57.229183
13,62.936108,-42.564816
14,56.368923,-47.15767
15,56.147964,-45.417553
16,23.699413,-54.960964
17,56.366337,-45.802345
18,63.048145,-42.447033
19,56.252747,-47.40787
20,68.74786,-36.874073
21,67.892265,-42.905437
23,64.15894,-43.88836
24,69.98582,-38.199055
25,68.69517,-40.975952
26,56.69283,-50.604107
27,42.383144,-58.74679
28,62.677494,-44.734856
29,59.98738,-48.078312
30,68.19151,-39.03422
31,56.259853,-48.436543
32,65.91278,-42.92845
33,70.665,-38.89211
34,64.7175,-44.526535
64,39.798058,-60.860195
62,68.69166,-40.414818
35,67.496704,-43.05168
36,62.698997,-45.716022
37,65.77742,-43.70638
38,69.10214,-39.808456
39,70.26211,-37.56488
40,66.78623,-43.178967
41,65.21401,-44.358376
42,62.735214,-43.772087
43,68.6543,-40.64921
44,61.32335,-47.11117
45,63.830517,-44.864574
46,61.417923,-46.933357
47,66.938354,-42.256187
48,62.22897,-44.968815
49,56.92228,-48.83115
50,58.86408,-49.911587
51,67.8995,-40.044662
52,71.14494,-36.550137
53,57.460537,-50.50318
54,70.37482,-38.842773
55,58.354515,-47.76736
56,44.484222,-57.509117
63,67.06794,-43.97406
57,60.896397,-47.610287
58,64.56371,-44.745224
59,71.00997,-38.419464
60,64.94076,-42.40738
61,66.2502,-44.362553
65,71.08822,-37.200615
66,71.49699,-36.28934
67,69.41084,-39.962795
68,58.67847,-48.625916
69,57.60181,-51.12098
70,63.895184,-46.351032
71,71.53423,-37.98143
72,67.04931,-41.706074
73,59.94396,-48.25999
74,66.55449,-44.76654
75,33.993015,-64.1803
76,25.429743,-43.13277
77,25.42205,-67.79826
78,25.328144,-68.840126
79,70.79053,-40.276527
80,56.93127,-33.774117
81,5.6032033,-49.80395
82,43.23905,-57.74769
83,38.915096,-60.676792
84,5.5163455,-59.200245
85,42.617256,-58.345894
86,55.913403,-49.91049
108,57.166374,-49.814133
87,70.464775,-36.017662
88,57.24263,-29.49974
89,45.26106,-44.395653
90,68.67197,-36.492207
91,61.942623,-43.183197
92,58.96627,-47.36347
93,44.89913,-44.272804
94,68.738945,-36.93161
95,56.787174,-48.11576
96,63.084476,-42.954803
97,57.09184,-50.46217
98,74.22526,-26.705843
99,71.59433,-35.745293
100,64.244,-44.433647
101,58.10809,-49.39144
102,61.236237,-46.834816
103,63.520718,-45.038174
104,42.26505,-58.30591
105,57.065277,-50.67838
106,67.25771,-41.29029
107,69.3972,-39.016144
109,71.85438,-35.67545
110,70.47646,-38.947002
111,63.156025,-46.070232
112,58.320965,-48.730167
113,70.74625,-37.648552
114,57.716343,-48.848705
115,61.614708,-45.49723
116,62.800087,-46.759346
117,71.220345,-37.59337
118,58.943798,-49.714542
119,64.06076,-44.880424
120,64.33529,-46.032246
121,70.59327,-39.76563
122,71.46556,-37.02993
123,65.609276,-43.706425
124,61.23229,-47.462677
125,59.59405,-48.858257
126,65.686775,-43.477093
127,71.33406,-36.649513
128,68.41427,-41.30644
