name,x,y
0,15.236928,15.295815
1,14.074794,13.249052
2,14.514024,15.230929
3,13.829113,12.292824
4,13.992285,16.305529
5,12.544209,13.59097
6,12.1537895,14.060468
7,12.990028,16.088127
8,14.324406,16.325188
9,13.192094,15.061853
10,13.656946,11.689354
11,13.0560055,13.436396
12,14.679862,14.518966
13,14.72636,15.223968
14,13.396833,15.66186
15,14.774371,12.049468
16,12.178538,14.973004
17,14.664286,13.308549
18,12.46064,13.587148
19,13.518393,11.827544
20,14.7595625,13.377006
21,13.208203,13.356459
22,13.18082,15.429288
23,13.984894,12.710124
24,11.928281,14.198002
25,13.409978,13.752253
26,14.141029,11.878926
27,14.347102,12.969057
28,14.507023,15.002448
29,14.512729,14.197297
30,12.815135,15.494211
31,13.81881,12.4967575
32,12.883951,14.980416
33,14.433562,12.795716
34,14.3569565,14.705293
35,13.859038,12.010904
36,13.419042,14.119209
37,16.177542,13.079459
38,15.73117,13.599413
39,13.544083,14.698782
40,15.157136,14.038631
41,13.916438,14.89845
42,16.024946,12.943522
43,13.702958,14.817737
44,16.06352,13.199668
45,13.363978,14.54316
46,13.949009,15.124155
47,15.403003,13.640513
48,13.216267,15.965969
49,13.428537,16.37966
50,13.347021,13.422763
51,13.892502,16.375097
52,13.143597,12.55935
53,15.09622,15.00067
54,14.080137,14.188394
55,14.374617,12.222876
56,12.26198,14.371483
57,12.532259,14.741758
58,12.419851,15.3201685
59,13.179818,13.04912
60,15.624494,14.066805
61,13.970418,15.468066
62,15.292932,14.790829
63,14.550262,13.821872
64,15.407357,12.775625
65,13.511985,13.255667
66,12.62553,12.941812
67,14.730695,12.53171
68,13.53738,14.12216
69,12.508423,13.28409
70,13.65599,15.308494
71,12.589871,12.287315
72,15.015913,14.275544
73,13.295556,12.489563
74,13.937545,13.622482
75,15.60848,13.1006
76,15.259002,13.289604
77,13.825827,14.36393
78,14.078177,13.753414
79,14.49443,12.291129
80,14.193189,15.834246
81,14.37756,15.042657
82,14.011216,11.597536
83,14.897851,15.4164715
84,15.405022,14.464139
85,13.354888,11.978533
86,13.8795185,13.451687
87,14.260628,16.201906
88,12.340414,14.092291
89,14.91813,12.202638
90,14.973726,12.739786
91,13.213557,15.833942
92,14.99428,13.781921
93,13.429755,12.751383
94,14.672182,13.4313
95,12.204075,13.556901
96,15.842684,14.015409
97,12.629226,14.502869
98,13.992369,15.802381
99,12.755162,12.401686
